Feature,Importance
cloud ,0.3235223014890206
sunshine,0.27649569504536475
humidity ,0.20538569972239737
windspeed,0.07310801118532477
dewpoint,0.06031098333119469
pressure ,0.04637502644541578
winddirection,0.014802282781282091
